no,provinsi,kota,kecamatan,kelurahan,nama_sppg
2331,JAWA BARAT,BOGOR,SUKARAJA,PASIRLAJA,SPPG Bogor Sukaraja Pasirlaja 2
2332,JAWA BARAT,KUNINGAN,LEBAKWANGI,LANGSEB,SPPG Kuningan Lebakwangi Langseb
2333,JAWA BARAT,SUMEDANG,SUMEDANG SELATAN,KOTA KULON,SPPG Sumedang Sumedang Selatan Kota Kulon 2
2334,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,LARANGAN,SPPG Kota Cirebon Harjamukti Larangan
2335,JAWA BARAT,CIAMIS,SINDANGKASIH,SUKAMANAH,SPPG Ciamis Sindangkasih Sukamanah
2336,JAWA BARAT,KOTA DEPOK,SUKMAJAYA,ABADIJAYA,SPPG Kota Depok Sukmajaya Abadijaya 3
2337,JAWA BARAT,GARUT,PAKENJENG,DEPOK,SPPG Garut Pakenjeng Depok
2338,JAWA BARAT,SUBANG,CIASEM,SUKAMANDIJAYA,SPPG Subang Ciasem Sukamandijaya 3
2339,JAWA BARAT,PURWAKARTA,WANAYASA,NAGROG,SPPG Purwakarta Wanayasa Nagrog
2340,JAWA BARAT,MAJALENGKA,PANYINGKIRAN,KARYAMUKTI,SPPG Majalengka Panyingkiran Karyamukti
2341,JAWA BARAT,BOGOR,CARINGIN,CIMANDE,SPPG Bogor Caringin Cimande
2342,JAWA BARAT,KARAWANG,KUTAWALUYA,KUTAGANDOK,SPPG Karawang Kutawaluya Kutagandok
2343,JAWA BARAT,GARUT,PASIRWANGI,PADAAWAS,SPPG Garut Pasirwangi Padaawas
2344,JAWA BARAT,GARUT,BAYONGBONG,KARYAJAYA,SPPG Garut Bayongbong Karyajaya
2345,JAWA BARAT,BOGOR,SUKAJAYA,CIPAYUNG,SPPG Bogor Sukajaya Cipayung
2346,JAWA BARAT,KOTA BANDUNG,KIARACONDONG,CICAHEUM,SPPG Kota Bandung Kiaracondong Cicaheum
2347,JAWA BARAT,MAJALENGKA,CIKIJING,CIKIJING,SPPG Majalengka Cikijing Cikijing 2
2348,JAWA BARAT,CIANJUR,KARANGTENGAH,SINDANGLAKA,SPPG Cianjur Karangtengah Sindanglaka 1
2349,JAWA BARAT,KOTA CIMAHI,CIMAHI UTARA,CITEUREUP,SPPG Kota Cimahi Cimahi Utara Citeureup 1
2350,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong
2351,JAWA BARAT,INDRAMAYU,JUNTINYUAT,JUNTIKEBON,SPPG Indramayu Juntinyuat Juntikebon 3
2352,JAWA BARAT,KARAWANG,BATUJAYA,BATUJAYA,SPPG Karawang Batujaya Batujaya
2353,JAWA BARAT,BANDUNG,CILEUNYI,CINUNUK,SPPG Bandung Cileunyi Cinunuk
2354,JAWA BARAT,KOTA CIREBON,KESAMBI,PEKIRINGAN,SPPG Kota Cirebon Kesambi Pekiringan 2
2355,JAWA BARAT,GARUT,BANJARWANGI,BANJARWANGI,SPPG Garut Banjarwangi Banjarwangi
2356,JAWA BARAT,CIREBON,SUSUKAN LEBAK,SAMPIH,SPPG Cirebon Susukan Lebak Sampih
2357,JAWA BARAT,KARAWANG,KARAWANG BARAT,NAGASARI,SPPG Karawang Karawang Barat Nagasari 4
2358,JAWA BARAT,CIAMIS,PANUMBANGAN,SINDANGMUKTI,SPPG Ciamis Panumbangan Sindangmukti
2359,JAWA BARAT,MAJALENGKA,PALASAH,WARINGIN,SPPG Majalengka Palasah Waringin
2360,JAWA BARAT,GARUT,CARINGIN,PURBAYANI,SPPG Garut Caringin Purbayani
2361,JAWA BARAT,PURWAKARTA,PURWAKARTA,CISEUREUH,SPPG Purwakarta Purwakarta Ciseureuh 6
2362,JAWA BARAT,BANDUNG,CIKANCUNG,HEGARMANAH,SPPG Bandung Cikancung Hegarmanah
2363,JAWA BARAT,KOTA BANDUNG,ANDIR,DUNGUS CARIANG,SPPG Kota Bandung Andir Dungus Cariang 1
2364,JAWA BARAT,CIAMIS,BANJARSARI,KAWASEN,SPPG Ciamis Banjarsari Kawasen 2
2365,JAWA BARAT,BANDUNG BARAT,NGAMPRAH,BOJONGKONENG,SPPG Bandung Barat Ngamprah Bojongkoneng
2366,JAWA BARAT,GARUT,SUKAWENING,PASANGGRAHAN,SPPG Garut Sukawening Pasanggrahan
2367,JAWA BARAT,MAJALENGKA,MAJALENGKA,CICURUG,SPPG Majalengka Majalengka Cicurug 1
2368,JAWA BARAT,BANDUNG,CIMAUNG,JAGABAYA,SPPG Bandung Cimaung Jagabaya 4
2369,JAWA BARAT,SUKABUMI,KABANDUNGAN,TUGUBANDUNG,SPPG Sukabumi Kabandungan Tugubandung
2370,JAWA BARAT,MAJALENGKA,CIGASONG,CIGASONG,SPPG Majalengka Cigasong Cigasong
2371,JAWA BARAT,SUMEDANG,CIMANGGUNG,SINDANGGALIH,SPPG Sumedang Cimanggung Sindanggalih 2
2372,JAWA BARAT,MAJALENGKA,LIGUNG,CIBOGOR,SPPG Majalengka Ligung Cibogor
2373,JAWA BARAT,CIANJUR,CAMPAKA,SUKAJADI,SPPG Cianjur Campaka Sukajadi 2
2374,JAWA BARAT,KOTA DEPOK,TAPOS,TAPOS,SPPG Depok Tapos Kebayunan 4
2375,JAWA BARAT,KOTA BEKASI,BEKASI BARAT,BINTARAJAYA,SPPG Kota Bekasi Bekasi Barat Bintarajaya 3
2376,JAWA BARAT,PURWAKARTA,BUNGURSARI,CIBUNGUR,SPPG Purwakarta Bungursari Cibungur
2377,JAWA BARAT,BANDUNG BARAT,LEMBANG,CIKIDANG,SPPG Bandung Barat Lembang Cikidang 2
2378,JAWA BARAT,CIANJUR,CIKALONGKULON,MEKARGALIH,SPPG Cianjur Cikalongkulon Mekargalih
2379,JAWA BARAT,PURWAKARTA,DARANGDAN,LINGGASARI,SPPG Purwakarta Darangdan Linggasari
2380,JAWA BARAT,SUKABUMI,JAMPANGKULON,PADAJAYA,SPPG Sukabumi Jampangkulon Padajaya
2381,JAWA BARAT,BEKASI,SETU,BURANGKENG,SPPG Bekasi Setu Burangkeng 2
2382,JAWA BARAT,CIANJUR,CIRANJANG,CIBIUK,SPPG Cianjur Ciranjang Cibiuk 2
2383,JAWA BARAT,GARUT,MALANGBONG,MALANGBONG,SPPG Garut Malangbong Malangbong 3
2384,JAWA BARAT,SUBANG,SERANGPANJANG,CIKUJANG,SPPG Subang Serangpanjang Cikujang
2385,JAWA BARAT,BEKASI,CIBARUSAH,WIBAWAMULYA,SPPG Bekasi Cibarusah Wibawamulya
2386,JAWA BARAT,BOGOR,CIBUNGBULANG,CEMPLANG,SPPG Bogor Cibungbulang Cemplang
2387,JAWA BARAT,BOGOR,SUKAMAKMUR,SUKAMULYA,SPPG Bogor Sukamakmur Sukamulya
2388,JAWA BARAT,CIREBON,PABUARAN,PABUARAN LOR,SPPG Cirebon Pabuaran Pabuaran Lor
2389,JAWA BARAT,KOTA BEKASI,JATISAMPURNA,JATISAMPURNA,SPPG Kota Bekasi Jatisampurna Jatisampurna
2390,JAWA BARAT,BOGOR,CIGOMBONG,CIGOMBONG,SPPG Bogor Cigombong Cigombong
2391,JAWA BARAT,CIAMIS,CIHAURBEUTI,CIHAURBEUTI,SPPG Ciamis Cihaurbeuti Cihaurbeuti 2
2392,JAWA BARAT,KOTA BANDUNG,REGOL,PASIRLUYU,SPPG Kota Bandung Regol Pasirluyu
2393,JAWA BARAT,TASIKMALAYA,MANONJAYA,MANONJAYA,SPPG Tasikmalaya Manonjaya Manonjaya 3
2394,JAWA BARAT,SUKABUMI,SAGARANTEN,PASANGGRAHAN,SPPG Sukabumi Sagaranten Pasanggrahan
2395,JAWA BARAT,KARAWANG,KOTA BARU,PANGULAH UTARA,SPPG Karawang Kota Baru Pangulah Utara 3
2396,JAWA BARAT,BOGOR,CIAWI,PANDAN SARI,SPPG Bogor Ciawi Pandan Sari
2397,JAWA BARAT,KUNINGAN,CILIMUS,CILIMUS,SPPG Kuningan Cilimus Cilimus
2398,JAWA BARAT,CIANJUR,CIDAUN,CISALAK,SPPG Cianjur Cidaun Cisalak
2399,JAWA BARAT,SUKABUMI,CISAAT,GUNUNGJAYA,SPPG Sukabumi Kadudampit Kadudampit 2
2400,JAWA BARAT,SUBANG,PATOKBEUSI,TANJUNGRASA KIDUL,SPPG Subang Patokbeusi Tanjungrasa Kidul
2401,JAWA BARAT,BEKASI,CIKARANG UTARA,KARANGASIH,SPPG Bekasi Cikarang Utara Karangasih 8
2402,JAWA BARAT,BANDUNG,CILENGKRANG,CILENGKRANG,SPPG Bandung Cilengkrang Cilengkrang 2
2403,JAWA BARAT,BOGOR,DRAMAGA,DRAMAGA,SPPG Bogor Dramaga Dramaga 2
2404,JAWA BARAT,SUBANG,CIPEUNDEUY,WANTILAN,SPPG Subang Cipeundeuy Wantilan
2405,JAWA BARAT,CIREBON,ARJAWINANGUN,TEGALGUBUG LOR,SPPG Cirebon Arjawinangun Tegalgubug Lor
2406,JAWA BARAT,CIANJUR,SUKARESMI,KAWUNGLUWUK,SPPG Cianjur Sukaresmi Kawungluwuk
2407,JAWA BARAT,BANDUNG,CILEUNYI,CILEUNYI WETAN,SPPG Bandung Cileunyi Cileunyi Wetan 5
2408,JAWA BARAT,GARUT,KERSAMANAH,KERSAMANAH,SPPG Garut Kersamanah Kersamanah
2409,JAWA BARAT,KUNINGAN,LURAGUNG,WALAHARCAGEUR,SPPG Kuningan Luragung Walaharcageur
2410,JAWA BARAT,KARAWANG,LEMAHABANG,KEDAWUNG,SPPG Karawang Lemahabang Kedawung 3
2411,JAWA BARAT,MAJALENGKA,ARGAPURA,SUKASARI KALER,SPPG Majalengka Argapura Sukasari Kaler 3
2412,JAWA BARAT,BOGOR,PAMIJAHAN,GUNUNGSARI,SPPG Bogor Pamijahan Gunungsari
2413,JAWA BARAT,SUMEDANG,UJUNGJAYA,PALABUAN,SPPG Sumedang Ujungjaya Palabuan
2414,JAWA BARAT,BANDUNG,CIMENYAN,CIKADUT,SPPG Bandung Cimenyan Cikadut
2415,JAWA BARAT,SUKABUMI,CIDAHU,JAYABAKTI,SPPG Sukabumi Cidahu Jayabakti
2416,JAWA BARAT,BANDUNG BARAT,PARONGPONG,SARIWANGI,SPPG Bandung Barat Parongpong Sariwangi
2417,JAWA BARAT,CIREBON,LEMAHABANG,ASEM,SPPG Cirebon Lemahabang Asem
2418,JAWA BARAT,KARAWANG,CIKAMPEK,CIKAMPEK BARAT,SPPG Karawang Cikampek Cikampek Barat 3
2419,JAWA BARAT,BOGOR,SUKAMAKMUR,SUKAMAKMUR,SPPG Bogor Sukamakmur Sukamakmur
2420,JAWA BARAT,BANDUNG,BOJONGSOANG,TEGALLUAR,SPPG Bandung Bojongsoang Tegalluar 2
2421,JAWA BARAT,BANDUNG,RANCAEKEK,TEGAL SUMEDANG,SPPG Bandung Rancaekek Tegal Sumedang
2422,JAWA BARAT,KOTA BANDUNG,CIDADAP,HEGARMANAH,SPPG Kota Bandung Cidadap Hegarmanah 2
2423,JAWA BARAT,CIANJUR,KARANGTENGAH,BOJONG,SPPG Cianjur Karangtengah Bojong
2424,JAWA BARAT,PANGANDARAN,LANGKAPLANCAR,BOJONG,SPPG Pangandaran Langkaplancar Bojong
2425,JAWA BARAT,BANDUNG BARAT,CILILIN,RANCAPANGGUNG,SPPG Bandung Barat Cililin Rancapanggung
2426,JAWA BARAT,CIAMIS,JATINAGARA,JATINAGARA,SPPG Ciamis Jatinagara Jatinagara
2427,JAWA BARAT,CIREBON,PASALEMAN,TANJUNGANOM,SPPG Cirebon Pasaleman Tanjunganom
2428,JAWA BARAT,KOTA BANDUNG,BANDUNG KULON,WARUNG MUNCANG,SPPG Kota Bandung Bandung Kulon Warung Muncang
2429,JAWA BARAT,SUKABUMI,KALAPANUNGGAL,GUNUNGENDUT,SPPG Sukabumi Kalapanunggal Gunungendut 3
2430,JAWA BARAT,INDRAMAYU,ANJATAN,WANGUK,SPPG Indramayu Anjatan Wanguk
2431,JAWA BARAT,KOTA BEKASI,BEKASI TIMUR,BEKASIJAYA,SPPG Kota Bekasi Bekasi Timur Bekasijaya
2432,JAWA BARAT,SUBANG,TANJUNGSIANG,BUNIARA,SPPG Subang Tanjungsiang Buniara
2433,JAWA BARAT,CIREBON,ARJAWINANGUN,ARJAWINANGUN,SPPG Cirebon Arjawinangun Arjawinangun 4
2434,JAWA BARAT,GARUT,TAROGONG KALER,JATI,SPPG Garut Tarogong Kaler Jati
2435,JAWA BARAT,KOTA BOGOR,BOGOR UTARA,TEGAL GUNDIL,SPPG Kota Bogor Bogor Utara tegal Gundil
2436,JAWA BARAT,BANDUNG,RANCAEKEK,LINGGAR,SPPG Bandung Rancaekek Linggar 3
2437,JAWA BARAT,BANDUNG,CILEUNYI,CIMEKAR,SPPG Bandung Cileunyi Cimekar 6
2438,JAWA BARAT,BANDUNG,KUTAWARINGIN,JELEGONG,SPPG Bandung Kutawaringin Jelegong
2439,JAWA BARAT,TASIKMALAYA,LEUWISARI,JAYAMUKTI,SPPG Tasikmalaya Leuwisari Jayamukti
2440,JAWA BARAT,GARUT,CILAWU,MANGKURAKYAT,SPPG Garut Cilawu Cilawu 3
2441,JAWA BARAT,BANDUNG BARAT,CIPONGKOR,CIJAMBU,SPPG Bandung Barat Cipongkor Cijambu
2442,JAWA BARAT,KOTA BEKASI,PONDOKGEDE,JATIMAKMUR,SPPG Kota Bekasi Pondokgede Jatimakmur 3
2443,JAWA BARAT,GARUT,BL. LIMBANGAN,SIMPEN KALER,SPPG Garut Bl. Limbangan Simpen Kaler
2444,JAWA BARAT,CIANJUR,CIDAUN,SUKAPURA,SPPG Cianjur Cidaun Sukapura 2
2445,JAWA BARAT,SUKABUMI,SUKARAJA,LANGENSARI,SPPG Sukabumi Sukaraja Langensari
2446,JAWA BARAT,CIAMIS,PANUMBANGAN,PAYUNGSARI,SPPG Ciamis Panumbangan Payungsari
2447,JAWA BARAT,MAJALENGKA,SUKAHAJI,CIKALONG,SPPG Majalengka Sukahaji Cikalong
2448,JAWA BARAT,KOTA BEKASI,BANTARGEBANG,CIKETINGUDIK,SPPG Kota Bekasi Bantargebang Ciketingudik 2
2449,JAWA BARAT,KUNINGAN,GARAWANGI,GARAWANGI,SPPG Kuningan Garawangi Garawangi
2450,JAWA BARAT,SUMEDANG,UJUNGJAYA,KEBON CAU,SPPG Sumedang Ujungjaya Kebon Cau
2451,JAWA BARAT,KOTA BANDUNG,ANDIR,CAMPAKA,SPPG Kota Bandung Andir Campaka
2452,JAWA BARAT,BOGOR,BOJONG GEDE,RAGAJAYA,SPPG Bogor Bojong Gede Ragajaya
2453,JAWA BARAT,PURWAKARTA,MANIIS,SINARGALIH,SPPG Purwakarta Maniis Sinargalih
2454,JAWA BARAT,MAJALENGKA,TALAGA,MEKARRAHARJA,SPPG Majalengka Talaga Mekarraharja 2
2455,JAWA BARAT,TASIKMALAYA,BOJONGGAMBIR,BOJONGGAMBIR,SPPG Tasikmalaya Bojonggambir Bojonggambir
2456,JAWA BARAT,BANDUNG BARAT,PADALARANG,PADALARANG,SPPG Bandung Barat Padalarang Padalarang 3
2457,JAWA BARAT,INDRAMAYU,JATIBARANG,BULAK,SPPG Indramayu Jatibarang Bulak 2
2458,JAWA BARAT,GARUT,LELES,SALAMNUNGGAL,SPPG Garut Leles Salamnunggal
2459,JAWA BARAT,KARAWANG,JAYAKERTA,KEMIRI,SPPG Karawang Jayakerta Kemiri
2460,JAWA BARAT,BOGOR,DRAMAGA,BABAKAN,SPPG Bogor Dramaga Babakan 2
2461,JAWA BARAT,KOTA BEKASI,JATIASIH,JATIMEKAR,SPPG Kota Bekasi Jatiasih Jatimekar 5
2462,JAWA BARAT,KOTA BANDUNG,CIBEUNYING KIDUL,CICADAS,SPPG Kota Bandung Cibeunying Kidul Cicadas
2463,JAWA BARAT,SUBANG,CIASEM,DUKUH,SPPG Subang Ciasem Dukuh 2
2464,JAWA BARAT,SUKABUMI,KADUDAMPIT,CITAMIANG,SPPG Sukabumi Kadudampit Citamiang
2465,JAWA BARAT,BANDUNG BARAT,SINDANGKERTA,CICANGKANGGIRANG,SPPG Bandung Barat Sindangkerta Cicangkang Girang 1
2466,JAWA BARAT,KARAWANG,TELUKJAMBE TIMUR,SUKAHARJA,SPPG Karawang Telukjambe Timur Sukaharja 3
2467,JAWA BARAT,CIREBON,LEMAHABANG,SIGONG,SPPG Cirebon Lemahabang Sigong
2468,JAWA BARAT,BEKASI,CIKARANG UTARA,MEKARMUKTI,SPPG Bekasi Cikarang Utara Mekarmukti 4
2469,JAWA BARAT,CIAMIS,BANJARSARI,SINDANGSARI,SPPG Ciamis Banjarsari Sindangsari
2470,JAWA BARAT,SUKABUMI,GEGERBITUNG,KARANGJAYA,SPPG Sukabumi Gegerbitung Karangjaya
2471,JAWA BARAT,SUBANG,CIKAUM,TANJUNGSARI TIMUR,SPPG Subang Cikaum Tanjungsari Timur
2472,JAWA BARAT,KARAWANG,JATISARI,BALONGGANDU,SPPG Karawang Jatisari Balonggandu 2
2473,JAWA BARAT,TASIKMALAYA,CIAWI,PAKEMITANKIDUL,SPPG Tasikmalaya Ciawi Pakemitankidul 2
2474,JAWA BARAT,KOTA BOGOR,BOGOR TENGAH,CIWARINGIN,SPPG Kota Bogor Bogor Tengah Ciwaringin
2475,JAWA BARAT,BANDUNG BARAT,BATUJAJAR,PANGAUBAN,SPPG Bandung Barat Batujajar Pangauban
2476,JAWA BARAT,KUNINGAN,CILIMUS,BANDORASAWETAN,SPPG Kuningan Cilimus Bandorasawetan 2
2477,JAWA BARAT,GARUT,CIHURIP,CIHURIP,SPPG Garut Cihurip Cihurip
2478,JAWA BARAT,BEKASI,TARUMAJAYA,PANTAI MAKMUR,SPPG Bekasi Tarumajaya Pantai Makmur
2479,JAWA BARAT,SUBANG,BLANAKAN,BLANAKAN,SPPG Subang Blanakan Blanakan 2
2480,JAWA BARAT,GARUT,CIGEDUG,SUKAHURIP,SPPG Garut Cigedug Sukahurip
2481,JAWA BARAT,SUKABUMI,JAMPANGKULON,BOJONGGENTENG,SPPG Sukabumi Jampangkulon Bojonggenteng
2482,JAWA BARAT,CIANJUR,CIANJUR,BABAKANKARET,SPPG Cianjur Cianjur Babakankaret
2483,JAWA BARAT,BANDUNG,RANCABALI,INDRAGIRI,SPPG Bandung Rancabali Indragiri
2484,JAWA BARAT,KUNINGAN,CIGANDAMEKAR,SANGKANURIP,SPPG Kuningan Cigandamekar Sangkanurip 2
2485,JAWA BARAT,KOTA DEPOK,CINERE,CINERE,SPPG Depok Cinere Cinere
2486,JAWA BARAT,BEKASI,TAMBUN SELATAN,SETIAMEKAR,SPPG Bekasi Tambun Selatan Setaiamekar 2
2487,JAWA BARAT,BOGOR,PARUNG,WARU,SPPG Bogor Parung Waru
2488,JAWA BARAT,INDRAMAYU,ANJATAN,KEDUNGWUNGU,SPPG Indramayu Anjatan Kedungwungu
2489,JAWA BARAT,BOGOR,CISARUA,TUGU SELATAN,SPPG Bogor Cisarua Tugu Selatan
2490,JAWA BARAT,TASIKMALAYA,SUKARESIK,MARGAMULYA,SPPG Tasikmalaya Sukaresik Margamulya
2491,JAWA BARAT,BOGOR,BABAKAN MADANG,SENTUL,SPPG Bogor Babakan Madang Sentul
2492,JAWA BARAT,BEKASI,BABELAN,BABELANKOTA,SPPG Bekasi Babelan Babelankota 6
2493,JAWA BARAT,KOTA TASIKMALAYA,PURBARATU,PURBARATU,SPPG Kota Tasikmalaya Purbaratu Purbaratu
2494,JAWA BARAT,BEKASI,SETU,BURANGKENG,SPPG Bekasi Setu Burangkeng
2495,JAWA BARAT,BOGOR,CIGOMBONG,SROGOL,SPPG Bogor Cigombong Srogol 3
2496,JAWA BARAT,TASIKMALAYA,SUKARAJA,MARGALAKSANA,SPPG Tasikmalaya Sukaraja Margalaksana
2497,JAWA BARAT,KOTA TASIKMALAYA,TAWANG,LENGKONGSARI,SPPG Kota Tasikmalaya Tawang Lengkongsari
2498,JAWA BARAT,BEKASI,CIBITUNG,CIBUNTU,SPPG Bekasi Cibitung Cibuntu 2
2499,JAWA BARAT,CIANJUR,CIBEBER,CIBAREGBEG,SPPG Cianjur Cibeber Cibaregbeg
2500,JAWA BARAT,KOTA BANDUNG,SUKAJADI,SUKAGALIH,SPPG Kota Bandung Sukajadi Sukagalih 01
2501,JAWA BARAT,KOTA BANDUNG,ARCAMANIK,CISARANTEN BINA HARAPAN,SPPG Kota Bandung Arcamanik Cisbinhar
2502,JAWA BARAT,SUMEDANG,SUMEDANG SELATAN,REGOL WETAN,SPPG Sumedang Sumedang Selatan Regol Wetan 1
2503,JAWA BARAT,CIAMIS,CIKONENG,CIMARI,SPPG Ciamis Cikoneng Cimari
2504,JAWA BARAT,TASIKMALAYA,SALAWU,KARANGMUKTI,SPPG Tasikmalaya Salawu Karangmukti 2
2505,JAWA BARAT,GARUT,SINGAJAYA,SINGAJAYA,SPPG Garut Singajaya Singajaya 3
2506,JAWA BARAT,BANDUNG,KUTAWARINGIN,GAJAH MEKAR,SPPG Bandung Kutawaringin Gajah Mekar
2507,JAWA BARAT,TASIKMALAYA,GUNUNGTANJUNG,GUNUNGTANJUNG,SPPG Tasikmalaya Gunungtanjung Gunungtanjung
2508,JAWA BARAT,BOGOR,TAJURHALANG,TONJONG,SPPG Bogor Tajurhalang Tonjong
2509,JAWA BARAT,SUKABUMI,CIRACAP,CIKANGKUNG,SPPG Sukabumi Ciracap Cikangkung 2
2510,JAWA BARAT,MAJALENGKA,LIGUNG,BANTARWARU,SPPG Majalengka Ligung Bantarwaru
2511,JAWA BARAT,KOTA SUKABUMI,CITAMIANG,TIPAR,SPPG Kota Sukabumi Citamiang Tipar
2512,JAWA BARAT,BOGOR,PAMIJAHAN,GUNUNG PICUNG,SPPG Bogor Pamijahan Gunung Picung 2
2513,JAWA BARAT,BEKASI,CIKARANG BARAT,KALIJAYA,SPPG Bekasi Cikarang Barat Kalijaya 2
2514,JAWA BARAT,BOGOR,KEMANG,TEGAL,SPPG Bogor Kemang Tegal 2
2515,JAWA BARAT,BANDUNG,BALEENDAH,BALEENDAH,SPPG Bandung Baleendah Baleendah 2
2516,JAWA BARAT,KOTA BEKASI,BEKASI BARAT,KOTABARU,SPPG Kota Bekasi Bekasi Barat Kotabaru
2517,JAWA BARAT,GARUT,CILAWU,SUKATANI,SPPG Garut Cilawu Sukatani
2518,JAWA BARAT,BANDUNG,CILEUNYI,CILEUNYI WETAN,SPPG Bandung Cileunyi Cileunyi Wetan 1
2519,JAWA BARAT,CIANJUR,CIKALONGKULON,GUDANG,SPPG Cianjur Cikalongkulon Gudang
2520,JAWA BARAT,KOTA BANDUNG,ARCAMANIK,SUKAMISKIN,SPPG Kota Bandung Arcamanik Sukamiskin
2521,JAWA BARAT,INDRAMAYU,PASEKAN,KARANGANYAR,SPPG Indramayu Pasekan Karanganyar
2522,JAWA BARAT,BEKASI,CIKARANG BARAT,CIKEDOKAN,SPPG Bekasi Cikarang Barat Cikedokan
2523,JAWA BARAT,TASIKMALAYA,PARUNGPONTENG,GIRIKENCANA,SPPG Tasikmalaya Parungponteng Girikencana
2524,JAWA BARAT,INDRAMAYU,JATIBARANG,BULAK,SPPG Indramayu Jatibarang Bulak
2525,JAWA BARAT,SUMEDANG,TANJUNGMEDAR,SUKAMUKTI,SPPG Sumedang Tanjungmedar Sukamukti
2526,JAWA BARAT,SUKABUMI,KEBONPEDES,SASAGARAN,SPPG Sukabumi Kebonpedes Sasagaran
2527,JAWA BARAT,CIAMIS,CIHAURBEUTI,SUKAMULYA,SPPG Ciamis Cihaurbeuti Sukamulya
2528,JAWA BARAT,BOGOR,BOJONG GEDE,SUSUKAN,SPPG Bogor Bojong Gede Susukan 2
2529,JAWA BARAT,BANDUNG,CIKANCUNG,CIKANCUNG,SPPG Bandung Cikancung Ciluluk
2530,JAWA BARAT,BANDUNG BARAT,CIKALONGWETAN,MANDALAMUKTI,SPPG Bandung Barat Cikalongwetan Mandalamukti 2
2531,JAWA BARAT,PANGANDARAN,PARIGI,CIBENDA,SPPG Pangandaran Parigi Cibenda
2532,JAWA BARAT,MAJALENGKA,CINGAMBUL,MANIIS,SPPG Majalengka Cingambul Maniis
2533,JAWA BARAT,CIANJUR,TANGGEUNG,TANGGEUNG,SPPG Cianjur Tanggeung Tanggeung
2534,JAWA BARAT,KOTA DEPOK,LIMO,KRUKUT,SPPG Kota Depok Limo Krukut 3
2535,JAWA BARAT,BOGOR,CISARUA,JOGJOGAN,SPPG Bogor Cisarua Jogjogan
2536,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,TELUK PUCUNG,SPPG Kota Bekasi Bekasi Utara Teluk Pucung
2537,JAWA BARAT,SUMEDANG,SUMEDANG UTARA,JATIHURIP,SPPG Sumedang Sumedang Utara Jatihurip
2538,JAWA BARAT,KARAWANG,PEDES,DONGKAL,SPPG Karawang Pedes Dongkal
2539,JAWA BARAT,BANDUNG,CIMAUNG,CIPINANG,SPPG Bandung Cimaung Cipinang
2540,JAWA BARAT,CIAMIS,CIJEUNGJING,HANDAPHERANG,SPPG Ciamis Cijeungjing Handapherang
2541,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,HARJAMUKTI,SPPG Kota Cirebon Harjamukti Harjamukti
2542,JAWA BARAT,BANDUNG,CIKANCUNG,CIKASUNGKA,SPPG Bandung Cikancung Cikasungka 3
2543,JAWA BARAT,BANDUNG,MAJALAYA,BIRU,SPPG Bandung Majalaya Biru
2544,JAWA BARAT,SUBANG,CIASEM,CIASEM HILIR,SPPG Subang Ciasem Ciasem Hilir
2545,JAWA BARAT,KOTA SUKABUMI,CIKOLE,CISARUA,SPPG Kota Sukabumi Cikole Cisarua 2
2546,JAWA BARAT,BOGOR,CIOMAS,KOTA BATU,SPPG Bogor Ciomas Kota Batu 1
2547,JAWA BARAT,CIREBON,GREGED,DURAJAYA,SPPG Cirebon Greged Durajaya
2548,JAWA BARAT,BEKASI,KARANG BAHAGIA,SUKARAYA,SPPG Bekasi Karang Bahagia Sukaraya
2549,JAWA BARAT,CIAMIS,CIMARAGAS,CIMARAGAS,SPPG Ciamis Cimaragas Cimaragas 2
2550,JAWA BARAT,PURWAKARTA,BUNGURSARI,CIKOPO,SPPG Purwakarta Bungursari Cikopo 1
2551,JAWA BARAT,GARUT,CIBIUK,CIBIUK KALER,SPPG Garut Cibiuk Cibiuk Kaler
2552,JAWA BARAT,KOTA BANDUNG,MANDALAJATI,PASIR IMPUN,SPPG Kota Bandung Mandalajati Pasir Impun
2553,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,KECAPI,SPPG Kota Cirebon Harjamukti Kecapi
2554,JAWA BARAT,BEKASI,TAMBUN SELATAN,SUMBERJAYA,SPPG Bekasi Tambun Selatan Sumberjaya 4
2555,JAWA BARAT,TASIKMALAYA,RAJAPOLAH,DAWAGUNG,SPPG Tasikmalaya Rajapolah Dawagung
2556,JAWA BARAT,KARAWANG,KARAWANG BARAT,KARAWANG KULON,SPPG Karawang Karawang Barat Karawang Kulon 3
2557,JAWA BARAT,INDRAMAYU,KANDANGHAUR,KARANGANYAR,SPPG Indramayu Kandanghaur Karanganyar
2558,JAWA BARAT,BANDUNG BARAT,CIPATAT,MANDALAWANGI,SPPG Bandung Barat Cipatat Mandalawangi 1
2559,JAWA BARAT,SUBANG,BLANAKAN,JAYAMUKTI,SPPG Subang Blanakan Jayamukti
2560,JAWA BARAT,KOTA BANDUNG,BABAKAN CIPARAY,BABAKAN CIPARAY,SPPG Kota Bandung Babakan Ciparay Babakan Ciparay 2
2561,JAWA BARAT,KOTA BEKASI,PONDOKGEDE,JATICEMPAKA,SPPG Kota Bekasi Pondokgede Jaticempaka
