no,provinsi,kota,kecamatan,kelurahan,nama_sppg
107,JAWA BARAT,KOTA CIMAHI,CIMAHI SELATAN,CIBEBER,SPPG Kota Cimahi Cimahi Selatan Cibeber 4
108,JAWA BARAT,GARUT,GARUT KOTA,KOTA KULON,SPPG Garut Garut Kota Kota Kulon 2
109,JAWA BARAT,SUKABUMI,TEGALBULEUD,TEGALBULEUD,SPPG Sukabumi Tegalbuleud Tegalbuleud 2
110,JAWA BARAT,BANDUNG,IBUN,CIBEET,SPPG Bandung Ibun Cibeet 2
111,JAWA BARAT,KOTA DEPOK,BOJONGSARI,CURUG,SPPG Kota Depok Bojongsari Curug 3
112,JAWA BARAT,GARUT,TAROGONG KALER,LANGENSARI,SPPG Garut Tarogong Kaler Langensari
113,JAWA BARAT,CIANJUR,KADUPANDAK,GANDASARI,SPPG Cianjur Kadupandak Gandasari
114,JAWA BARAT,SUKABUMI,PARUNGKUDA,BOJONGKOKOSAN,SPPG Sukabumi Parungkuda Bojongkosan 2
115,JAWA BARAT,CIANJUR,MANDE,BOBOJONG,SPPG Cianjur Mande Bobojong 2
116,JAWA BARAT,GARUT,TALEGONG,SUKAMULYA,SPPG Garut Talegong Sukamulya 2
117,JAWA BARAT,KARAWANG,TEMPURAN,PANCAKARYA,SPPG Karawang Tempuran Pancakarya
118,JAWA BARAT,KARAWANG,TELAGASARI,TELAGAMULYA,SPPG Karawang Telagasari Telagamulya
119,JAWA BARAT,BANDUNG,IBUN,CIBEET,SPPG Bandung Ibun Cibeet 2
120,JAWA BARAT,CIANJUR,WARUNGKONDANG,CIKAROYA,SPPG Cianjur Warungkondang Cikaroya
121,JAWA BARAT,BOGOR,MEGAMENDUNG,CIPAYUNG,SPPG Bogor Megamendung Cipayung 2
122,JAWA BARAT,KOTA BOGOR,BOGOR BARAT,CURUG MEKAR,SPPG Kota Bogor Bogor Barat Curug Mekar 2
123,JAWA BARAT,CIANJUR,WARUNGKONDANG,CIKAROYA,SPPG Cianjur Warungkondang Cikaroya
124,JAWA BARAT,KOTA CIMAHI,CIMAHI TENGAH,BAROS,SPPG Kota Cimahi Cimahi Tengah Baros
125,JAWA BARAT,GARUT,SINGAJAYA,SINGAJAYA,SPPG Garut Singajaya Singajaya
126,JAWA BARAT,BOGOR,CIBINONG,PABUARAN,SPPG Bogor Cibinong Pabuaran
127,JAWA BARAT,BOGOR,LEUWILIANG,LEUWILIANG,SPPG Bogor Leuwiliang Leuwiliang
128,JAWA BARAT,CIANJUR,CIJATI,PARAKANTUGU,SPPG Cianjur Cijati Parakantugu 2
129,JAWA BARAT,CIREBON,SUSUKAN,WIYONG,SPPG Cirebon Susukan Wiyong 2
130,JAWA BARAT,CIANJUR,CIANJUR,LIMBANGANSARI,SPPG Cianjur Cianjur Limbangansari 2
131,JAWA BARAT,SUMEDANG,WADO,GANJARESIK,SPPG Sumedang Wado Ganjaresik
132,JAWA BARAT,PURWAKARTA,PLERED,PLERED,SPPG Purwakarta Plered Plered
133,JAWA BARAT,BANDUNG BARAT,CIKALONGWETAN,PUTERAN,SPPG Bandung Barat Cikalongwetan Puteran 2
134,JAWA BARAT,TASIKMALAYA,JAMANIS,TANJUNGMEKAR,SPPG Tasikmalaya Jamanis Tanjungmekar 2
135,JAWA BARAT,GARUT,CISEWU,CISEWU,SPPG Garut Cisewu Cisewu
136,JAWA BARAT,KOTA BANDUNG,BUAHBATU,MARGASARI,SPPG Kota Bandung Buahbatu Margasari 2
137,JAWA BARAT,CIREBON,DUKUPUNTANG,SINDANGMEKAR,SPPG Cirebon Dukupuntang Sindangmekar 2
138,JAWA BARAT,GARUT,BL. LIMBANGAN,CIWANGI,SPPG Garut Bl. Limbangan Ciwangi
139,JAWA BARAT,KOTA BANDUNG,BOJONGLOA KALER,KOPO,SPPG Kota Bandung Bojongloa Kaler Kopo 3
140,JAWA BARAT,INDRAMAYU,GANTAR,MEKARJAYA,SPPG Indramayu Gantar Mekarjaya 2
141,JAWA BARAT,KOTA CIREBON,HARJAMUKTI,KALIJAGA,SPPG Kota Cirebon Harjamukti Kalijaga 4
