Provinsi,Kab/Kota,kecamatan,SD,SMP,SMA,SMK,TOTAL,jumlah_sppg,priority_score
JawaBarat,KUNINGAN,JAPARA,15,2,0,2,19,10,9.82
JawaBarat,KUNINGAN,MANDIRANCAN,15,3,1,1,20,2,24.0
JawaBarat,KUNINGAN,PANCALANG,15,2,1,1,19,5,16.33
JawaBarat,KUNINGAN,CIGANDAMEKAR,15,3,2,0,20,0,40.0
JawaBarat,KUNINGAN,SUBANG,16,3,1,0,20,1,28.5
JawaBarat,KUNINGAN,KARANGKANCANA,16,1,0,0,17,0,34.0
JawaBarat,KUNINGAN,PASAWAHAN,13,3,1,0,17,0,34.0
JawaBarat,KUNINGAN,CIBEUREUM,15,2,0,0,17,0,34.0
JawaBarat,KUNINGAN,SELAJAMBE,15,2,0,1,18,0,36.0
JawaBarat,KUNINGAN,NUSAHERANG,14,1,0,0,15,1,21.0
JawaBarat,KUNINGAN,KALIMANGGIS,12,3,0,0,15,0,30.0
JawaBarat,KUNINGAN,CILEBAK,11,2,0,0,13,0,26.0
JawaBarat,KUNINGAN,HANTARA,11,1,0,0,12,1,16.5
JawaBarat,MAJALENGKA,MAJALENGKA,37,14,3,5,59,9,55.0
JawaBarat,MAJALENGKA,JATIWANGI,41,9,3,4,57,3,67.5
JawaBarat,MAJALENGKA,LEMAHSUGIH,37,7,0,2,46,0,92.0
JawaBarat,MAJALENGKA,LIGUNG,33,4,1,2,40,3,46.25
JawaBarat,MAJALENGKA,MAJA,29,9,2,2,42,4,45.6
JawaBarat,MAJALENGKA,CIKIJING,34,6,2,2,44,5,45.5
JawaBarat,MAJALENGKA,TALAGA,31,5,1,3,40,7,37.12
JawaBarat,MAJALENGKA,SUMBERJAYA,26,5,1,0,32,11,22.75
JawaBarat,MAJALENGKA,PALASAH,25,5,1,2,33,4,34.8
JawaBarat,MAJALENGKA,SUKAHAJI,21,4,1,2,28,1,40.5
JawaBarat,MAJALENGKA,MALAUSMA,25,7,1,1,34,5,33.83
JawaBarat,MAJALENGKA,LEUWIMUNDING,31,5,1,2,39,2,49.33
JawaBarat,MAJALENGKA,BANTARUJEG,27,3,1,2,33,6,30.86
JawaBarat,MAJALENGKA,KERTAJATI,32,3,0,1,36,4,38.4
JawaBarat,MAJALENGKA,JATITUJUH,28,2,1,1,32,2,40.0
JawaBarat,MAJALENGKA,KASOKANDEL,22,4,2,1,29,5,28.0
JawaBarat,MAJALENGKA,BANJARAN,18,4,0,1,23,13,10.71
